Date,Time,Start Time,End TIme,Driver Number,DATA.currentTicketNumber,FWA Density,Temperature,Grind Out,Gross Total,Net Barrels,Trucking Company
2021/02/01,08:08:18,02-01-21 07:58 A,02-01-21 08:08 A,7235,35953,39.1,63.6,0.3,61.63,61.31,RIO
2021/02/01,09:37:34,02-01-21 08:54 A,02-01-21 09:37 A,20,9155286,42.6,57.9,0.1,274.21,274.20,BML
2021/02/01,14:10:50,02-01-21 01:35 P,02-01-21 02:10 P,5256,35980,37.9,56.9,0.8,730.45,726.07,RIO
2021/02/01,16:04:05,02-01-21 03:54 P,02-01-21 04:04 P,7503,35972,40.1,64.7,0.2,450.99,449.26,RIO
2021/02/01,16:35:46,02-01-21 04:25 P,02-01-21 04:35 P,6564,35962,41.3,56.5,0.2,160.30,160.30,RIO
2021/02/01,17:36:04,02-01-21 05:06 P,02-01-21 05:36 P,7776,35909,42.3,74.2,0.1,323.00,320.57,RIO
2021/02/01,18:11:00,02-01-21 05:42 P,02-01-21 06:11 P,6000,35978,40.2,59.8,0.0,188.98,189.01,RIO
2021/02/02,01:26:34,02-02-21 01:16 A,02-02-21 01:26 A,0356,35978,40.5,67.7,0.2,428.60,426.05,BML
2021/02/02,04:17:51,02-02-21 03:54 A,02-02-21 04:17 A,7776,35978,39.4,68.0,0.5,286.95,284.26,RIO
2021/02/02,06:02:29,02-02-21 05:34 A,02-02-21 06:02 A,6000,52057,42.3,52.2,0.0,192.35,193.15,RIO
2021/02/02,06:30:02,02-02-21 06:05 A,02-02-21 06:30 A,1830,51370,45.6,56.3,0.0,180.49,180.86,GIBSON
2021/02/02,08:47:58,02-02-21 08:13 A,02-02-21 08:47 A,7503,35971,39.6,50.8,0.3,184.69,184.98,RIO
2021/02/02,10:08:05,02-02-21 09:37 A,02-02-21 10:08 A,1830,51666,34.8,52.5,1.8,168.31,165.80,GIBSON
2021/02/02,10:47:40,02-02-21 10:16 A,02-02-21 10:47 A,1005,11515,41.7,54.8,0.3,168.13,168.15,ONE SOURCE
2021/02/02,11:43:47,02-02-21 11:17 A,02-02-21 11:43 A,7503,36046,40.2,55.1,0.7,177.44,176.65,RIO
2021/02/02,12:23:50,02-02-21 11:58 A,02-02-21 12:23 P,1830,51650,41.7,56.5,0.0,176.27,176.59,GIBSON
2021/02/02,12:37:10,02-02-21 12:27 P,02-02-21 12:37 P,1830,51594,38.2,62.6,0.6,67.90,67.41,GIBSON
2021/02/02,13:56:46,02-02-21 01:46 P,02-02-21 01:56 P,68,52700,45.3,63.7,0.4,145.53,144.61,RIO
2021/02/02,15:13:03,02-02-21 02:45 P,02-02-21 03:13 P,7503,36034,50.7,62.4,0.1,335.27,334.44,RIO
2021/02/02,15:56:20,02-02-21 03:46 P,02-02-21 03:56 P,1830,51415,44.1,58.0,0.0,66.10,66.17,GIBSON
2021/02/02,16:58:28,02-02-21 04:47 P,02-02-21 04:58 P,1830,51651,39.0,57.6,1.4,186.86,184.52,GIBSON
2021/02/02,18:23:16,02-02-21 05:46 P,02-02-21 06:23 P,7503,36044,38.4,78.7,1.0,268.16,262.86,RIO
2021/02/02,20:45:59,02-02-21 08:35 P,02-02-21 08:45 P,1,51606,43.2,59.0,0.0,71.75,71.79,GIBSON
2021/02/02,23:39:32,02-02-21 11:03 P,02-02-21 11:39 P,7776,36021,40.7,66.9,0.1,463.05,460.85,RIO
2021/02/03,00:41:50,02-03-21 12:13 A,02-03-21 12:41 A,9000,51732,43.2,61.7,0.0,196.32,196.16,DUENDE
2021/02/03,04:08:52,02-03-21 03:43 A,02-03-21 04:08 A,7776,36080,40.3,79.6,0.2,374.96,370.69,RIO
2021/02/03,08:58:25,02-03-21 08:48 A,02-03-21 08:58 A,1830,51674,28.1,54.7,3.3,68.58,66.50,GIBSON
2021/02/03,12:59:07,02-03-21 12:49 P,02-03-21 12:59 P,10,107382,37.3,61.6,1.1,512.04,506.08,PWS
2021/02/03,13:56:09,02-03-21 12:49 P,02-03-21 12:59 P,1200,9155692,39.3,79.5,1.1,307.78,301.43,BML
2021/02/03,15:14:08,02-03-21 02:48 P,02-03-21 03:14 P,1830,51717,52.4,69.2,0.0,361.40,359.49,GIBSON
2021/02/03,15:28:25,02-03-21 03:18 P,02-03-21 03:28 P,1,51652,47.5,64.6,0.0,73.03,72.85,GIBSON
2021/02/03,15:55:40,02-03-21 03:45 P,02-03-21 03:55 P,1830,51700,45.2,64.8,0.0,164.21,163.78,GIBSON
2021/02/03,19:57:03,02-03-21 07:28 P,02-03-21 07:57 P,9000,51293,37.9,71.9,2.3,672.36,653.42,DUENDE
2021/02/03,21:00:12,02-03-21 08:24 P,02-03-21 09:00 P,1,51443,56.9,64.2,0.0,192.88,192.40,DUENDE
2021/02/03,23:13:39,02-03-21 11:12 P,02-03-21 11:13 P,9000,51399,35.7,68.9,3.2,184.22,177.62,DUENDE
2021/02/03,23:18:28,02-03-21 11:14 P,02-03-21 11:18 P,1,513990,65.9,62.5,0.0,0.06,0.06,DUENDE
